CVE_CLPV,CVE_DOC,CVE_VEND,FECHA_ENT,CAN_TOT
      5926,F29810,6.0,2019-10-04 00:00:00,340.0
      4605,F29811,2.0,2019-10-04 00:00:00,442.6
      3930,F29812,4.0,2019-10-01 00:00:00,72720.0
      5926,F29813,2.0,2019-10-07 00:00:00,784.62
      2385,F29814,4.0,2019-09-09 00:00:00,1200.0
      6812,F29815,2.0,2019-10-07 00:00:00,2609.25
      5926,F29816,2.0,2019-10-07 00:00:00,392.35
      6867,F29817,2.0,2019-10-07 00:00:00,410.34430000000003
      6861,F29818,2.0,2019-10-07 00:00:00,6050.2
      3803,F29819,6.0,2019-09-04 00:00:00,2000.0000000000002
      5926,F29820,2.0,2019-10-07 00:00:00,650.0
      5598,F29821,2.0,2019-10-01 00:00:00,571.6400000000001
      6754,F29822,2.0,2019-09-24 00:00:00,1267.89
      6369,F29823,2.0,2019-10-07 00:00:00,3300.0000000000005
      3852,F29824,1.0,2019-10-04 00:00:00,2853.75
       941,F29825,5.0,2019-10-08 00:00:00,11100.0
      5926,F29826,2.0,2019-10-08 00:00:00,717.24
      1852,F29827,2.0,2019-10-08 00:00:00,659.8
      3852,F29828,1.0,2019-10-04 00:00:00,2427.5
      6869,F29829,2.0,2019-10-08 00:00:00,315.90000000000003
      5926,F29830,2.0,2019-09-20 00:00:00,498.28000000000003
      4607,F29831,3.0,2019-10-08 00:00:00,5800.000000000001
      4802,F29832,4.0,2019-10-08 00:00:00,48.00000000000001
      1852,F29833,2.0,2019-10-08 00:00:00,659.7987
      6870,F29834,2.0,2019-10-08 00:00:00,5255.25
      5926,F29835,2.0,2019-10-08 00:00:00,44.84
      5926,F29836,2.0,2019-10-08 00:00:00,575.8620000000001
      5926,F29837,2.0,2019-10-08 00:00:00,1398.88
      6582,F29838,2.0,2019-10-09 00:00:00,3442.1400000000003
      6111,F29839,2.0,2019-10-09 00:00:00,1387.94
      6871,F29840,2.0,2019-10-09 00:00:00,47.42
      2610,F29841,2.0,2019-10-01 00:00:00,7512.000000000001
      6872,F29842,2.0,2019-10-09 00:00:00,2120.16
      5926,F29843,2.0,2019-10-09 00:00:00,112.10000000000001
      5493,F29844,3.0,2019-10-04 00:00:00,5400.0
      5728,F29845,1.0,2019-10-04 00:00:00,4097.0
      5728,F29846,1.0,2019-10-04 00:00:00,3550.0000000000005
      5728,F29847,1.0,2019-10-04 00:00:00,10799.400000000001
      2390,F29848,1.0,2019-10-09 00:00:00,350.00000000000006
      5926,F29849,2.0,2019-10-09 00:00:00,84.1379
      1852,F29850,3.0,2019-10-09 00:00:00,7125.9000000000015
      2325,F29851,3.0,2019-09-27 00:00:00,8421.5
       960,F29852,2.0,2019-10-03 00:00:00,1124.59
      6864,F29853,4.0,2019-10-04 00:00:00,2370.0
       251,F29854,6.0,2019-10-04 00:00:00,2465.0
      4768,F29855,3.0,2019-10-10 00:00:00,5542.5
